Lok Sabha,Member Name,Gender,Constituency Name,State Name,Party Name
First Lok Sabha,Shri S. Balasubramaniam,Male,Madurai,Madras,Congress
First Lok Sabha,Sardar Baldev Singh,Male,Nawan Shahr,Punjab,Congress
First Lok Sabha,Shri S.C. Balkrishnan,Male,Erode,Madras,Congress
First Lok Sabha,Shri Kanhaiya Lal Balmiki,Male,Bulandshahar Distt.-SC,Uttar Pradesh,Congress
First Lok Sabha,Shri Durga Charan Banerjee,Male,Midnapore Jhargram-ST,West Bengal,Jan Sangh
First Lok Sabha,Shri Ghamandi Lal Bansal,Male,Jhajjar,Punjab,Congress
First Lok Sabha,Shri Bansilal,Male,Jaipur,Rajasthan,Congress
First Lok Sabha,Shri Upendranath Barman,Male,North Bengal,West Bengal,Congress
First Lok Sabha,Shri A.E.T. Barrow,Male,Nominated Anglo-Indian,NA,Nominated
First Lok Sabha,Shri Pannalal Barupal,Male,Ganganagar-SC,Rajasthan,Congress
First Lok Sabha,Shri C.R. Basappa,Male,Tumkur,Mysore,Congress
First Lok Sabha,Shri Amiya Kanta Basu,Male,North Bengal,West Bengal,Congress
First Lok Sabha,Shri Kamal Kumar Basu,Male,Diamond Harbour,West Bengal,Communist Party
First Lok Sabha,Shri Bali Ram Bhagat,Male,Patna cum Shahabad,Bihar,Congress
First Lok Sabha,Shri Bhakt Darshan,Male,Garhwal Distt. (East) cum Moradabad Distt. (North-East),Uttar Pradesh,Congress
First Lok Sabha,Shri Daulat Mall Bhandari,Male,Jaipur,Rajasthan,Congress
First Lok Sabha,Shri Goswamiraja Sahdeo Bharati,Male,Yeotmal,Madhya Pradesh,Congress
First Lok Sabha,Pandit Mukut Bihari Lal Bhargava,Male,Ajmer South,Ajmer,Congress
First Lok Sabha,Pandit Thakur Das Bhargava,Male,Gurgaon,Punjab,Congress
First Lok Sabha,Shri Shaligram Ramchandra Bhartiya,Male,West Khandesh-ST,Bombay,Congress
First Lok Sabha,Shri Laxmanrao Shrawanji Bhatkar,Male,Buldana-Akola,Madhya Pradesh,Congress
First Lok Sabha,Shri Chandrashanker Manishanker Bhatt,Male,Broach,Bombay,Congress
First Lok Sabha,Shri Bheekhabhai,Male,Banswara-Dungarpur-ST,Rajasthan,Congress
First Lok Sabha,Shri Girdhari Bhoi,Male,Kalahandi Bolangir-ST,Odisha,Ganatantra Parishad
First Lok Sabha,Shri Jagannathrao Krishnarao Bhonsle,Male,Ratnagiri North,Bombay,Congress
First Lok Sabha,Shri Bibhuti Mishra,Male,Saran cum Champaran-SC,Bihar,Congress
First Lok Sabha,Shri Ramappa Balappa Bidari,Male,Bijapur South,Bombay,Congress
First Lok Sabha,Shri Birbal Singh,Male,Jaunpur Dist (East),Uttar Pradesh,Congress
First Lok Sabha,Shri Rajagopala Rao Boddiapalli,Male,Srikakulam,Madras,Congress
First Lok Sabha,"Shri Uttamchand Ramchand, H.P. Bogawat",Male,Ahmednagar South,Bombay,Congress
First Lok Sabha,Shri V. Boovaraghasamy,Male,Perambalur-SC,Madras,Tamil Nadu Toilers Party
First Lok Sabha,Smt. Ansuyabai Bhaorao Borkar,Female,Bhandara,Madhya Pradesh,Congress
First Lok Sabha,Shri Nama Arjun Borkar,Male,Bhandara,Madhya Pradesh,Congress
First Lok Sabha,Shri Dev Kanta Borooah,Male,Nowgong,Assam,Congress
First Lok Sabha,Shri Prabhat Chandra Bose,Male,Manbhum North,Bihar,Congress
First Lok Sabha,Shri Brajeshwar Prasad,Male,Gaya-East-SC,Bihar,Congress
First Lok Sabha,Shri Sitanath Brohomo-Chaudhury,Male,Goalpara-Garo Hills-ST,Assam,Congress
First Lok Sabha,Shri Sanaka Buchhikotaiah,Male,Masuliipatam,Madras,Communist Party
First Lok Sabha,Shri Surendra Nath Buragohain,Male,Sibasagar-North Lakhimpur,Assam,Congress
First Lok Sabha,Shri P.T. Chacko,Male,Meenachil,Travancore-Cochin,Congress
First Lok Sabha,Smt. Renu Chakravartty,Female,Basirhat,West Bengal,Communist Party
First Lok Sabha,Shri Bimala Prosad Chaliha,Male,Sibasagar-North Lakhimpur,Assam,Congress
First Lok Sabha,Shri Anil Kumar Chanda,Male,Birbhum-SC,West Bengal,Congress
First Lok Sabha,Shri BHikulal Lachhimichand Chandak,Male,Betul,Madhya Pradesh,Congress
First Lok Sabha,Smt. Maragatham Chandrasekhar,Female,Tiruvallur,Madras,Congress
First Lok Sabha,Shri Lakshman Singh Charak,Male,NA,Jammu and Kashmir,Nominated
First Lok Sabha,Shri Tushar Chatterjea,Male,Serampore,West Bengal,Communist Party
First Lok Sabha,Shri N.C. Chatterjee,Male,Hooghly,West Bengal,Hindu Mahasabha
First Lok Sabha,Dr. Susil Ranjan Chatterjee,Male,West Dinajpur,West Bengal,Congress
First Lok Sabha,Shri Harindranath Chattopadhyaya,Male,Vijaywada,Madras,Independent
First Lok Sabha,Shri Rohanlal Chaturvedi,Male,Etah Dist (Central),Uttar Pradesh,Congress
First Lok Sabha,Shri Ranbir Singh Chaudhari,Male,Rohtak,Punjab,Congress
First Lok Sabha,Shri Ganeshi Lal Chaudhary,Male,Shahjahanpur Distt. (North) cum Kheri (East)-SC,Uttar Pradesh,Congress
First Lok Sabha,Shri Rohini Kumar Chaudhuri,Male,Gauhati,Assam,Congress
First Lok Sabha,Shri Tridib Chaudhuri,Male,Berhampore,West Bengal,Revolutionary Socialist Party
First Lok Sabha,Shri Akbarbhai Dalumiya Chavda,Male,Banaskantha,Bombay,Congress
First Lok Sabha,Shri T.A.M. Subramania Chettiar,Male,Dharmapuri,Madras,Congress
First Lok Sabha,Shri T.A.Ramalinga Chettiar,Male,Coimbatore,Madras,Congress
First Lok Sabha,Shri T.S. Avinashilingam Chettiar,Male,Tiruppur,Madras,Congress
First Lok Sabha,Shri V.VR.N.AR. Nagappa Chettiar,Male,Ramanthapuram,Madras,Congress
First Lok Sabha,Shri Hira Singh Chinaria,Male,Mohindergarh,Patiala and East Punjab States,Congress
First Lok Sabha,Shri Muhammad Shaffee Choudhri,Male,NA,Jammu and Kashmir,Nominated
First Lok Sabha,Smt. Ila Pal Choudhuri,Female,Nabadwip-SC,West Bengal,Congress
First Lok Sabha,Shri Chapalamadugu Ramaiah Chowdhari,Male,Narasaraopet,Madras,Independent
First Lok Sabha,Shri Nikunja Bihari Chowdhury,Male,Ghatal,West Bengal,Communist Party
First Lok Sabha,Shri Fulsinhji Bharatsinhji Dabhi,Male,Kaira North,Bombay,Congress
First Lok Sabha,Shri Sheodass Daga,male,Mahasamund,Madhya Pradesh,Congress
First Lok Sabha,Shri Amar Singh Damar,Male,Jhabua-ST,Madhya Bharat,Congress
First Lok Sabha,Shri Govindaswami Naidu Rangaswami Naidu Damodaran,Male,Pollachi,Madras,Congress
First Lok Sabha,Shri Nettur P. Damodaran,Male,Tellicherry,Madras,Kisan Mazdoor Praja Party
First Lok Sabha,Shri Basanta Kumar Das,Male,Contai,West Bengal,Congress
First Lok Sabha,Shri Beli Ram Das,Male,Barpeta,Assam,Congress
First Lok Sabha,Shri Bhubananda Das,Male,Dhenkanal West Cuttack-SC,Odisha,Congress
First Lok Sabha,Shri Bijoy Chandra Das,Male,Ganjam South,Odisha,Communist Party
First Lok Sabha,Shri Kamal Krishna Das,Male,Birbhum-SC,West Bengal,Congress
First Lok Sabha,Dr. Mono Mohan Das,Male,Burdwan,West Bengal,Congress
First Lok Sabha,Shri Nayan Tara Das,Male,Monghyr Sadar cum Jamui-SC,Bihar,Congress
First Lok Sabha,Shri Ram Dhani Das,Male,Gaya-East-SC,Bihar,Congress
First Lok Sabha,Shri Ramananda Das,Male,Barrackpore,West Bengal,Congress
First Lok Sabha,Shri Sarangadhar Das,Male,Dhenkanal West Cuttack-SC,Odisha,Socialist
First Lok Sabha,Shri Shree Narayan Das,Male,Darbhanga Central,Bihar,Congress
First Lok Sabha,Shri Guru Gosain Agam Dasji,male,Bilaspur-Durg-Raipur,Madhya Pradesh,Congress
First Lok Sabha,Shri Balwantrao Nageshrao Datar,Male,Belgaum North,Bombay,Congress
First Lok Sabha,Shri Dasaratha Deb,Male,Tripura East-ST,Tripura,Communist Party of India
First Lok Sabha,Shri Suresh Chandra Deb,Male,Cachar-Lusai Hills-SC,Assam,Congress
First Lok Sabha,H.H.Maharaja Rajendra Narayan Singh Deo,Male,Kalahandi Bolangir-ST,Odisha,Ganatantra Parishad
First Lok Sabha,Shri Kanhu Ram Deogam,Male,Chaibassa-ST,Bihar,Jharkhand Party
First Lok Sabha,Shri Kanayalal Nanabhai Desai,Male,Surat-ST,Bombay,Congress
First Lok Sabha,Shri Khandubhai Kasanji Desai,Male,Halar,Saurashtra,Congress
First Lok Sabha,Dr. Chintaman Dwarkanath Deshmukh,Male,Kolaba,Bombay,Congress
First Lok Sabha,Shri Krishnarao Gulabrao Deshmukh,Male,Amravati West,Madhya Pradesh,Congress
First Lok Sabha,Dr. Punjabrao Shamrao Deshmukh,Male,Amravati East,Madhya Pradesh,Congress
First Lok Sabha,Shri Govind Hari Deshpande,Male,Nasik Central,Bombay,Congress
First Lok Sabha,Shri Vishnu Ghanshyam Deshpande,Male,Guna,Madhya Bharat,Hindu Mahasabha
First Lok Sabha,Shri Gulabshankar Amritlal Dholakia,Male,Kutch East,Kutch,Congress
First Lok Sabha,Shri Raghunath Vinayak Dhulekar,Male,Jhansi Distt. (South),Uttar Pradesh,Congress
First Lok Sabha,Shri Sohan Lal Dhusiya,Male,Basti Distt. Central (East) Cum Gorakhpur Distt.(West),Uttar Pradesh,Congress
First Lok Sabha,Chaudhary Digambar Singh,Male,Etah Dist.(W) cum Mainpuri Dist.(W) cum Mathura Dist. (East),Uttar Pradesh,Congress
First Lok Sabha,Shri Raghevendra Srinivas Rao Diwan,Male,Osmanabad,Hyderabad,Congress
First Lok Sabha,Shri Mulchand Dube,Male,Farrukhabad Distt. North,Uttar Pradesh,Congress
First Lok Sabha,Shri Udai Shanker Dube,Male,Basti Distt. North,Uttar Pradesh,Congress
First Lok Sabha,Shri Rajaram Girdharilal Dubey,Male,Bijapur North,Bombay,Congress
First Lok Sabha,Shri Asim Krishna Dutt,Male,Calcutta South West,West Bengal,Congress
First Lok Sabha,Shri Birendra Chandra Dutta,Male,Tripura West,Tripura,Communist Party of India
First Lok Sabha,Shri Santosh Kumar Dutta,Male,Howrah,West Bengal,Congress
First Lok Sabha,Shri Dashrath Prasad Dwivedi,Male,Gorakhpur Distt. (South),Uttar Pradesh,Congress
First Lok Sabha,Shri Mannoolal Dwivedi,Male,Hamirpur,Uttar Pradesh,Congress
First Lok Sabha,Dr. S.A. Ebenezer,Male,Vikarabad,Hyderabad,Congress
First Lok Sabha,Shri L. Elayaperumal,Male,Cuddalore,Madras,Congress
First Lok Sabha,Pandit Sheo Narayan Fotedar,Male,NA,Jammu and Kashmir,Nominated
First Lok Sabha,Shri Narhar Vishnu Gadgil,Male,Poona Central,Bombay,Congress
First Lok Sabha,Shri Ganapati Ram,Male,Jaunpur Distt. (East)-SC,Uttar Pradesh,Congress
First Lok Sabha,Shri Feroze Gandhi,Male,Pratapgarh Distt. (West) cum Raebareli Distt. (East)-SC,Uttar Pradesh,Congress
First Lok Sabha,Shri Maneklal Maganlal Gandhi,Male,Panch Mahals cum Baroda East-ST,Bombay,Congress
First Lok Sabha,Shri Maneklal Maganlal Gandhi,Male,Purnea cum Santhal Paragnas-ST,Bihar,Congress
First Lok Sabha,Shri Vithal Balkrishna Gandhi,Male,Bombay City North,Bombay,Congress
First Lok Sabha,Smt. Ganga Devi,Female,Lucknow Dist. cum Bara Banki Distt.-SC,Uttar Pradesh,Congress
First Lok Sabha,Shri Ram Pratap Garg,Male,Patiala,Patiala and East Punjab States,Congress
First Lok Sabha,Shri Chintaman Dhivruji Gautam,Male,Balaghat,Madhya Pradesh,Congress
First Lok Sabha,Shri Surendra Mohan Ghose,Male,Malda,West Bengal,Congress
First Lok Sabha,Shri Atulya Ghosh,Male,Burdwan,West Bengal,Congress
First Lok Sabha,Kh. Ghulam Qader Bhat,Male,NA,Jammu and Kashmir,All Jammu & Kashmir National Conference
First Lok Sabha,Shri Choithram Partabrai Gidwani,Male,Thana,Bombay,Praja Socialist Party (PSP)
First Lok Sabha,Shri Varahagiri Venkata Giri,Male,Pathapatnam,Madras,Congress
First Lok Sabha,Shri Chowkhamoon Gohain,Male,Autonomous District-ST,Assam,Congress
First Lok Sabha,Shri Ayillath Kuttieri Gopalan,Male,Cannanore,Madras,Communist Party
First Lok Sabha,Shri Gopi Ram,Male,Mandi - Mahasu-SC,Himachal Pradesh,Congress
First Lok Sabha,Shri Y. Gadilingana Goud,Male,Kurnool,Madras,Praja Socialist Party (PSP)
First Lok Sabha,Shri K. Periaswami Gounder,Male,Erode,Madras,Congress
First Lok Sabha,Shri K. Sakthivadivel Gounder,Male,Periyakulam,Madras,Congress
First Lok Sabha,Shri Arun Chandra Guha,Male,Santipur,West Bengal,Congress
First Lok Sabha,Shri Badshah Gupta,Male,Mainpuri Distt. (East),Uttar Pradesh,Congress
First Lok Sabha,Shri Ram Krishan Gupta,Male,Mohindergarh,Patiala and East Punjab States,Congress
First Lok Sabha,Shri Sadhan Ch. Gupta,Male,Calcutta East,West Bengal,Communist Party
First Lok Sabha,Shri M.S. Gurupadaswamy,Male,Mysore,Mysore,Kisan Mazdoor Praja Party
First Lok Sabha,Shri Benjamin Hansda,Male,Purnea cum Santhal Paragnas-ST,Bihar,Jharkhand Party
First Lok Sabha,Shri Subodh Chandra Hansda,Male,Midnapore Jhargram-ST,West Bengal,Congress
First Lok Sabha,Dr. Hari Mohan,Male,Manbhum North-SC,Bihar,Congress
First Lok Sabha,Shri J.N. Hazarika,Male,Dibrugarh,Assam,Congress
First Lok Sabha,Shri Harish Chandra Heda,Male,Nizamabad,Hyderabad,Congress
First Lok Sabha,Shri Hem Raj,Male,Kangra,Punjab,Congress
First Lok Sabha,Shri Lal Hembrom,Male,Santhal Parganas cum Hazaribagh-ST,Bihar,Congress
First Lok Sabha,Maulana Mohammad Hifzur Rahman,Male,Moradabad Distt. (Central),Uttar Pradesh,Congress
First Lok Sabha,Maj.Gen. M.S. Himmatsinhji,Male,Halar,Saurashtra,Congress
First Lok Sabha,Chaudhri Hyder Husein,Male,Gonda District (North),Uttar Pradesh,Congress
First Lok Sabha,Shri A. Ibrahim,Male,Ranchi North - East,Bihar,Congress
First Lok Sabha,Sardar Iqbal Singh,Male,Fazilka-Sirsa,Punjab,Congress
First Lok Sabha,Shri V. Eacharan Iyyani,Male,Ponnani,Madras,Congress
First Lok Sabha,Shri Chalakka R. Iyyunni,Male,Trichur,Travancore-Cochin,Congress
First Lok Sabha,Shri Jagjivan Ram,Male,Shahabad South-SC,Bihar,Congress
First Lok Sabha,Shri Ajit Prasad Jain,Male,Saharanpur Distt.(West) cum Muzaffarnagar Distt.(North)-SC,Uttar Pradesh,Congress
First Lok Sabha,Shri Nemi Saran Jain,Male,Bijnor Dist. (South),Uttar Pradesh,Congress
First Lok Sabha,Shri Jaipal Singh,Male,Ranchi West-ST,Bihar,Jharkhand Party
First Lok Sabha,Dr. N.M. Jaisoorya,Male,Medak,Hyderabad,Peoples Democratic Front
First Lok Sabha,Shri Ramraj Jajware,Male,Santhal Parganas cum Hazaribagh-ST,Bihar,Congress
First Lok Sabha,Shri Resham Lal Jangde,Male,Bilaspur-SC,Madhya Pradesh,Congress
First Lok Sabha,Shri Chatubhuj Vithaldas Jasani,Male,Bhandara,Madhya Pradesh,Congress
First Lok Sabha,Dr. Manik Chand Jatav-vir,Male,Bharatpur- Sawai Madhopur-SC,Rajasthan,Krishikar Lok Party
First Lok Sabha,Shri A. Jayaraman,Male,Tindivanam,Madras,Tamil Nadu Toilers Party
First Lok Sabha,Shri Kanhu Charan Jena,Male,Balasore,Odisha,Congress
First Lok Sabha,Shri Lakshmi Dhar Jena,Male,Dhenkanal West Cuttack-SC,Odisha,Ganatantra Parishad
First Lok Sabha,Shri Niranjan Jena,Male,Dhenkanal West Cuttack-SC,Odisha,Congress
First Lok Sabha,Shri Kherwar Jethan,Male,Palamu cum Hazaribagh cum Ranchi-ST,Bihar,Congress
First Lok Sabha,Shri Banarsi Prasad Jhunjhunwala,Male,Bhagalpur Central,Bihar,Congress
First Lok Sabha,Sardar Jogendra Singh,Male,Bahraich Distt. (West),Uttar Pradesh,Congress
First Lok Sabha,Shri Jethalal Harikrishna Joshi,Male,Madhya Saurashtra,Saurashtra,Congress
First Lok Sabha,Shri Krishnacharya Joshi,Male,Yadgir,Hyderabad,Congress
First Lok Sabha,Shri Liladhar Joshi,Male,Shajapur-Rajagarh,Madhya Bharat,Congress
First Lok Sabha,Shri Moreshwar Dinkar Joshi,Male,Ratnagiri South,Bombay,Congress
First Lok Sabha,Shri Nand Lal Surya Narayan Joshi,Male,Indore,Madhya Bharat,Congress
First Lok Sabha,Shri Ram Karan Joshi,Male,Jaipur-Sawai Madhopur,Rajasthan,Congress
First Lok Sabha,Smt. Subhadra Joshi,Female,Karnal,Punjab,Congress
First Lok Sabha,Maharajkumar Chandikeshwar Sharan Singh Ju Deo,Male,Surguja -Raigarh,Madhya Pradesh,Congress
First Lok Sabha,Shri N.D. Govindaswami Kachiroyar,Male,Cuddalore,Madras,Tamil Nadu Toilers Party
First Lok Sabha,Shri Narayan Sadoba Kajrolkar,Male,Bombay City Central-North-SC,Bombay,Congress
First Lok Sabha,Shri P. Kakkan,Male,Madurai,Madras,Congress
First Lok Sabha,Smt. Anasuyabai Purushottam Kale,Female,Nagpur,Madhya Pradesh,Congress
First Lok Sabha,Shri K. Kamaraj Nadar,Male,Srivilliputhur,Madras,Congress
First Lok Sabha,Shri Hari Vishnu Kamath,Male,Hoshangabad,Madhya Pradesh,Praja Socialist Party (PSP)
First Lok Sabha,Dr. Devrao Namdevrao Pathrikar Kamble,Male,Nanded-SC,Hyderabad,Congress
First Lok Sabha,Shri S.K. Babie Kandasamy,Male,Tiruchengode,Madras,Dravidian Federation of South India
First Lok Sabha,Shri Nityanand Kanungo,Male,Kendrapara,Odisha,Congress
First Lok Sabha,Shri Dattatraya Parasuram Karmarkar,Male,Dharwar North,Bombay,Congress
First Lok Sabha,Dr.Maharaja Bikaner Karni Singh,Male,Bikaner-Churu,Rajasthan,Independent
First Lok Sabha,Shri Nemi Chandra Kasliwal,Male,Kotah-Jhalwar,Rajasthan,Congress
First Lok Sabha,Shri Birendra Nath Katham,Male,North Bengal,West Bengal,Congress
First Lok Sabha,Dr. Kailas Nath Katju,Male,Mandsaur,Madhya Bharat,Congress
First Lok Sabha,Shri Pannalal R. Kaushik,Male,Tonk-SC,Rajasthan,Congress
First Lok Sabha,Shri Paresh Nath Kayal,Male,Basirhat,West Bengal,Congress
First Lok Sabha,Shri Syed Mohammad Ahmad Kazmi,Male,Sultanpur Distt. (North) cum Faizabad Distt. (South-West),Uttar Pradesh,Congress
First Lok Sabha,Shri Rishang Keishing,Male,Outer Manipur-ST,Manipur,Socialist
First Lok Sabha,Shri K. Kelappan,Male,Ponnani,Madras,Kisan Mazdoor Praja Party
First Lok Sabha,Shri N. alias N. Keshavaiengar Keshava,Male,Bangalore North,Mysore,Congress
First Lok Sabha,Dr. Balkrishna Vishwanath Keskar,Male,Sultanpur Distt. (South),Uttar Pradesh,Congress
First Lok Sabha,Shri Sadath Ali Khan,Male,Ibrahimpatnam,Hyderabad,Congress
First Lok Sabha,Shri Shah Nawaz Khan,Male,Meerut North East,Uttar Pradesh,Congress
First Lok Sabha,Shri Balasaheb Hanumantrao Khardekar,Male,Kolhapur-cum-Satara-SC,Bombay,Independent
First Lok Sabha,Dr. Narayan Bhaskar Khare,Male,Gwalior,Madhya Bharat,Hindu Mahasabha
First Lok Sabha,Shri Gopalrao Bajirao Khedkar,Male,Buldana-Akola,Madhya Pradesh,Congress
First Lok Sabha,Shri Bhawanji Arjan Khimji,Male,Kutch West,Kutch,Congress
First Lok Sabha,Smt. Bonily Khongmen,Female,Autonomous District-ST,Assam,Congress
First Lok Sabha,Shri Muhammed Khuda Bukhsh,Male,Murshidabad,West Bengal,Congress
First Lok Sabha,Shri Rafi Ahmed Kidwai,Male,Bahraich,Uttar Pradesh,Congress
First Lok Sabha,Shri Wasudeo Shridhar Kirolikar,Male,Durg,Madhya Pradesh,Congress
First Lok Sabha,Shri Jagannath Kolay,Male,Bankura,West Bengal,Congress
First Lok Sabha,Shri George Thomas Kottukapally,Male,Meenachil,Travancore-Cochin,Congress
First Lok Sabha,Acharya J.B. Kripalani,Male,Bhagalpur cum Purnea-SC,Bihar,Praja Socialist Party (PSP)
First Lok Sabha,Smt. Sucheta Kripalani,Female,New Delhi,Delhi,Kisan Mazdoor Praja Party
First Lok Sabha,Shri M.R. Krishna,Male,Karimnagar-SC,Hyderabad,Scheduled Castes Federation
First Lok Sabha,Shri Krishna Chandra,Male,Mathura Distt West,Uttar Pradesh,Congress
First Lok Sabha,Shri T.T. Krishnamachari,Male,Madras,Madras,Congress
First Lok Sabha,Shri M.V. Krishnappa,Male,Kolar-SC,Mysore,Congress
First Lok Sabha,Dr. A. Krishnaswami,Male,Kancheepuram,Madras,Independent
First Lok Sabha,Shri Ratnappa Bharamappa Kumbhar,Male,Kolhapur-cum-Satara-SC,Bombay,Congress
First Lok Sabha,Shri Baijnath Kureel,Male,Pratapgarh Distt. (West) cum Raebareli Distt. (East)-SC,Uttar Pradesh,Congress
First Lok Sabha,Shri Paidi Lakshmayya,Male,Anantapur,Madras,Congress
First Lok Sabha,Shri Lallanji,Male,Faizabad Dist. (North-West)-SC,Uttar Pradesh,Congress
First Lok Sabha,Dr. Lanka Sundaram,Male,Vishakapatnam,Madras,Independent
First Lok Sabha,Prof. Nibaran Chandra Laskar,Male,Cachar-Lusai Hills-SC,Assam,Congress
First Lok Sabha,Shri N.M. Lingam,Male,Coimbatore,Madras,Congress
First Lok Sabha,Shri Lotan Ram,Male,Jalaun Dist. cum Etawah Dist.(W) cum Jhansi Dist.(North)-SC,Uttar Pradesh,Congress
First Lok Sabha,Shri T. Madiah Gowda,Male,Bangalore South,Mysore,Congress
First Lok Sabha,Shri Sibnarayan Singh Mahapatra,Male,Sundergarh-ST,Odisha,Congress
First Lok Sabha,Shri Bhajahari Mahata,Male,Manbhum South cum Dhalbhum-ST,Bihar,Manbhum Lok Sevak Sangh
First Lok Sabha,Dr. Govind Das Jeewan Das Maheshwari,Male,Mandla Jabalpur South,Madhya Pradesh,Congress
First Lok Sabha,Shri Vaijanath Mahodaya,Male,Nimar,Madhya Bharat,Congress
First Lok Sabha,Shri Harekrushna Mahtab,Male,Cuttack,Odisha,Congress
First Lok Sabha,Pandit Lakshmi Kant Maitra,Male,Nabadwip-SC,West Bengal,Congress
First Lok Sabha,Shri Mohit Kumar Maitra,Male,Calcutta North West,West Bengal,Independent
First Lok Sabha,Shri Chaitan Majhi,Male,Manbhum South cum Dhalbhum-ST,Bihar,Manbhum Lok Sevak Sangh
First Lok Sabha,Shri Ram Chandra Majhi,Male,Mayurbhanj-ST,Odisha,Congress
First Lok Sabha,Sardar Surjit Singh Majithia,Male,Taran Taran,Punjab,Congress
First Lok Sabha,Shri Keshav Dev Malaviya,Male,Gonda Distt. (East) cum Basti Distt. (West),Uttar Pradesh,Congress
First Lok Sabha,Shri U. Srinivasa Malliah,Male,South kanara North,Madras,Congress
First Lok Sabha,Shri Gam Malludora,Male,Vishakapatnam,Madras,Independent
First Lok Sabha,Shri Bhagu Nandu Malvia,Male,Shajapur-Rajagarh,Madhya Bharat,Congress
First Lok Sabha,Pandit Chatur Narain Malviya,Male,Raisen,Bhopal,Congress
First Lok Sabha,Shri Moti Lal Malviya,Male,Chhatarpur-Datia-Tikamgarh-SC,Vindhya Pradesh,Congress
First Lok Sabha,Dr. Pashupati Mandal,Male,Bankura,West Bengal,Congress
First Lok Sabha,Kumari Annie Mascarene,Female,Trivandrum,Travancore-Cochin,Independent
First Lok Sabha,Mohammad Saeed Masuodi Maulana,Male,NA,Jammu and Kashmir,Nominated
First Lok Sabha,Shri Masuriya Din,Male,Allahabad District (East) cum Jaunpur Distt.(West)-SC,Uttar Pradesh,Congress
First Lok Sabha,Prof. C.P. Mathew,Male,Kottayam,Travancore-Cochin,Congress
First Lok Sabha,Dr. Edward Paul Mathuram,Male,Tiruchirapalli,Madras,Independent
First Lok Sabha,Shri C.P. Matthen,Male,Thiruvellah,Travancore-Cochin,Congress
First Lok Sabha,Shri Ganesh Vasudeo Mavalankar,Male,Ahmedabad-SC,Bombay,Congress
First Lok Sabha,Smt. Sushila Ganesh Mavalankar,Female,Ahmedabad-SC,Bombay,Congress
First Lok Sabha,Smt. Indira Anant Maydeo,Female,Poona South,Bombay,Congress
First Lok Sabha,Shri Anup Lal Mehta,male,Bhagalpur cum Purnea-SC,Bihar,Congress
First Lok Sabha,Shri Ashok Ranjitram Mehta,Male,Bhandara,Madhya Pradesh,Praja Socialist Party (PSP)
First Lok Sabha,Shri Balvantray Gopalji Mehta,Male,Gohilwad,Saurashtra,Congress
